label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41
A,0.0,0.0,0.18823174252094726,-0.17129557246932323,0.3607588556326914,-0.3993964644618063,0.5099144001141955,-0.6246144594445222,0.6156366235508756,-0.7510249623167411,0.2553573036223503,-0.7370463265641476,0.2603787543152402,-0.9655065532150694,0.2449689701051598,-0.690024935806509,0.24150297878661295,-0.5717188958435107,0.1342567542484269,-0.7509751364716992,0.13814205390040182,-0.9236118461468756,0.14224583633114504,-0.5827348726429501,0.14648032281161127,-0.4998547040698527,0.021234435643309877,-0.7117420022421189,0.02679519275875627,-0.8837622312479886,0.04351445294525385,-0.5755468602562825,0.051912340357404475,-0.4541943402647643,-0.08690687823538977,-0.6462505461971516,-0.08434465265196159,-0.8070170347479134,-0.04912447777509504,-0.5906881328859538,-0.03593219736512841,-0.4844111275860474
A,0.0,0.0,0.18392502148647702,-0.16559342549471848,0.3462852503725589,-0.3855386054384596,0.4775512049521643,-0.6209760906042593,0.576379204911765,-0.7617590605722594,0.2519503894402235,-0.7293310392731206,0.2511166858199499,-0.967956822437243,0.23701882018104406,-0.6963011580627179,0.23028373063434876,-0.5579765856758154,0.13349454478247075,-0.7399164826538498,0.12709068182004837,-0.9150462935126515,0.1318181975531442,-0.580778523723452,0.13903733782563402,-0.4908221712955896,0.024324219470333336,-0.7062719275482662,0.020894939107804218,-0.8787260990986334,0.038255354318505276,-0.5724164555521336,0.04973117091504802,-0.45100395793865045,-0.08501988929035273,-0.645613209681868,-0.08809266276700527,-0.8029603895265641,-0.0543306461421826,-0.5874663306628257,-0.038614344534598326,-0.47418077951576554
A,0.0,0.0,0.18791690710815198,-0.15550657744522745,0.3537392337102499,-0.3867056907086384,0.4834644448049834,-0.6267526871538406,0.583588715966317,-0.7658212806137198,0.25429848957278334,-0.7271534106034482,0.25336247953008106,-0.9673714146936373,0.2405333812634969,-0.6931131202630849,0.2335424114846909,-0.5539785609566413,0.1339227538717713,-0.7340875792563575,0.12985039513638175,-0.9157900504176656,0.13277409209621274,-0.5807996699024504,0.13704293841426984,-0.4874227480881069,0.023325422633973796,-0.6987438843568535,0.023511688028204258,-0.8763126636521495,0.03801430457320287,-0.5681317095816726,0.04434662299852567,-0.4495135356689346,-0.08983254162950989,-0.639643722818344,-0.08521271672324347,-0.803517186677131,-0.05438068288388352,-0.5885636989762622,-0.04282623612423523,-0.47331431524303696
A,0.0,0.0,0.1878909019058565,-0.15298930409997616,0.35999986249014054,-0.3782495227967272,0.4938913822219608,-0.6162517106528352,0.5991851604816935,-0.7506517318868977,0.2662501266595074,-0.7220335294029261,0.26519189925176884,-0.9641956526407073,0.2483848410761717,-0.6894228089793475,0.24128466836607268,-0.5534639207019395,0.14540043574396605,-0.7318899919208182,0.13927236268468474,-0.9155052982916173,0.13929388202476972,-0.57911326059948,0.1446495770837176,-0.4884773279222204,0.03331108170966975,-0.700286598358173,0.032281983525746426,-0.882370352632526,0.04536735498800518,-0.5747835895330148,0.05345207530442771,-0.453171297553853,-0.07900535931859122,-0.6438385975033197,-0.07709240589717292,-0.8004840727613404,-0.04745427740701914,-0.5877262378778949,-0.03449121844683589,-0.4739694625647892
A,0.0,0.0,0.1879998612721329,-0.15740296248300076,0.35746867659147297,-0.3810673222461582,0.4969589669450512,-0.6103998061923186,0.6023408785839303,-0.7423184458968244,0.2650160419043436,-0.7289481792631441,0.26592777017197095,-0.9639929569511196,0.24866574186322438,-0.687590950716171,0.24122024673486891,-0.5503366686446525,0.14449526609194926,-0.7418499258734425,0.14128021634475746,-0.919736571677455,0.14119939008588087,-0.5812117953168046,0.1449921736285861,-0.48941403988749754,0.031591117237372145,-0.708088550473521,0.03289855634696051,-0.8852803828980454,0.045598312942873476,-0.574481584847478,0.051971889520101316,-0.4518237284635144,-0.08114679070920988,-0.6491750315798701,-0.07780296350402006,-0.8047339654043338,-0.04796430880783008,-0.5884858560844736,-0.03559905090273892,-0.4746854080547309
A,0.0,0.0,0.1881667317468354,-0.15932031430539928,0.35828916198741956,-0.38699060557389026,0.4975441666100921,-0.618354753993185,0.6041321327930897,-0.7481285492102916,0.2700025055886999,-0.7263149779181729,0.26538977448450346,-0.9641412072923055,0.24977840060484885,-0.6849089518203093,0.24766936898477038,-0.5567327947154036,0.14821220971182178,-0.736983923715185,0.1424414532810972,-0.9167446435924979,0.1434339743563582,-0.5764610427074974,0.15011740022267428,-0.49234755507053546,0.03501078242828297,-0.7063314871612477,0.03516241479015706,-0.884604333403884,0.046342552322109896,-0.5722702188137849,0.05482286707554469,-0.45521356647337613,-0.07744463986531706,-0.6526958016015736,-0.07588644836222634,-0.8079945795070892,-0.048231954100671444,-0.5910899841587223,-0.03524292219187065,-0.4810644124544353
A,0.0,0.0,0.19225618097838382,-0.1506756050058542,0.3678679756474131,-0.36511136959668344,0.5228709243030835,-0.5741759803119806,0.6385091900709519,-0.6793237688202011,0.2747602880047518,-0.7289800884493979,0.28302938869115324,-0.9591112371029297,0.2576555961451527,-0.6747987120983693,0.2476311641620494,-0.5456015728878936,0.152313015675623,-0.7514652612397668,0.15344712409545283,-0.9218806049525228,0.14860556246621628,-0.5771701700334888,0.15291394452021967,-0.49096368330578305,0.03748323135516696,-0.7288296256242456,0.04257472731623857,-0.9084570250584175,0.05091916191032868,-0.5843314010488608,0.05643616633095055,-0.4599314430839085,-0.07920115077844868,-0.6791037118136601,-0.07461377702821603,-0.8365386644987677,-0.044523671880455876,-0.6074107380064013,-0.03172295478502262,-0.48702674353948533
A,0.0,0.0,0.18916885824951085,-0.14098717661906668,0.36512722352768834,-0.3599973197677789,0.5174234071311203,-0.5740857805869529,0.635887706329364,-0.6764731444124042,0.27416247030705904,-0.7276366876477394,0.2816449546126083,-0.9595186916059854,0.25689274879327095,-0.6755443959098215,0.24547283562601233,-0.543634822924634,0.15171151401157484,-0.7476215875642414,0.15238867458757552,-0.9214439454088368,0.148006946634902,-0.5736462020117247,0.15238468030502977,-0.48659854312348105,0.03669806743765089,-0.7237104635266778,0.04087017336737216,-0.896917909354427,0.05065362378826243,-0.5723859799316451,0.056554009089104754,-0.45282112620755266,-0.08163244923221014,-0.6756272902410954,-0.07563599365507294,-0.8300061031386345,-0.04620171058514238,-0.6015084495940116,-0.03404985810982724,-0.4813698716497134
A,0.0,0.0,0.20301614640897028,-0.15467487169747754,0.38597324047118625,-0.3517257409488262,0.5425755689192469,-0.5527503216058705,0.6556213521789086,-0.6546106803144705,0.2995007167690327,-0.7269912605132439,0.307195366946557,-0.9516464713992115,0.28347398977205907,-0.673346732209019,0.2774506743430175,-0.5423538826092965,0.17215286948322167,-0.7565411664204579,0.18173044028060006,-0.9316969015265876,0.1733542983353296,-0.5842726913993042,0.17573637948972237,-0.4951879744783453,0.05070409699854331,-0.7325987309425533,0.06570277728336783,-0.9089339670056378,0.06962049143891069,-0.59001455522898,0.07298315247751945,-0.4632572957637047,-0.06646910226840141,-0.6803230475682293,-0.05271612529702048,-0.8450336731706429,-0.027530079860818315,-0.6151754280695528,-0.018551627306195154,-0.5009403050837506
A,0.0,0.0,0.20201641329536502,-0.15548529548790557,0.38132197416239266,-0.3518374484457165,0.5382356039761059,-0.5601441821488191,0.6575318711019381,-0.6610948167290495,0.2968135433175089,-0.7176004464511907,0.3091262333686154,-0.951021015458298,0.2799046612976162,-0.6708965335395007,0.26859118457983233,-0.5357996927183234,0.17314874243022993,-0.7488902996480188,0.17881231895154198,-0.9315438248359201,0.16735129572923238,-0.5835183889331541,0.16946728618825363,-0.48727956386785876,0.05406088145446211,-0.729417632733088,0.0641043010058387,-0.9171114096370859,0.06606674841790434,-0.5945345633894125,0.06969565601174475,-0.4609804120102064,-0.06213853971506175,-0.6814906355706917,-0.05585384764100843,-0.8478364058166752,-0.03103436892856375,-0.6155425555714005,-0.02015790339067265,-0.49741719225688436
